City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
82,Nelson Bay,AU,77.0,light rain,-32.7167,152.15,Mantra Nelson Bay
85,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
86,Kerrville,US,70.95,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
87,Thibodaux,US,71.02,few clouds,29.7958,-90.8229,Hampton Inn & Suites Thibodaux
89,Phan Thiet,VN,72.93,overcast clouds,10.9333,108.1,Hotel Saigon-PT
91,Belmonte,BR,82.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
93,Ponta Do Sol,PT,70.72,overcast clouds,32.6667,-17.1,Hotel do Campo
94,Cidreira,BR,74.34,clear sky,-30.1811,-50.2056,Hotel Castelo
96,Arraial Do Cabo,BR,71.56,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
97,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
98,Camana,PE,72.9,broken clouds,-16.6228,-72.7111,Hostal Morales
101,Ilo,PE,70.3,broken clouds,-17.6394,-71.3375,Torreblanca Hotel
102,Half Moon Bay,US,79.5,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
103,San Patricio,US,72.54,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
111,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
113,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
114,Chicama,PE,70.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
115,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
121,Pisco,PE,78.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
124,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
126,Tete,MZ,77.09,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
127,Luwuk,ID,76.64,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
128,Bengkulu,ID,74.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
132,Nkhotakota,MW,72.77,light rain,-12.9274,34.2961,Sitima Inn
141,Guerrero Negro,MX,75.42,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
146,San Pedro,PH,78.35,light rain,14.35,121.0167,Villa Veronica Resort Private Pool
148,Hoi An,VN,71.56,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
150,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
151,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
152,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
153,Faanui,PF,81.64,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Leticia,CO,89.65,scattered clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
161,Lompoc,US,88.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
165,Imbituba,BR,78.82,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
166,Chuy,UY,72.01,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
168,Hualmay,PE,73.4,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
172,Fortuna,US,79.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
175,Dingle,PH,75.52,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
176,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
177,Esperance,AU,75.04,few clouds,-33.8667,121.9,Hospitality Esperance
178,Ballina,AU,71.56,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
181,Qui Nhon,VN,72.45,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
184,Ampanihy,MG,74.05,broken clouds,-24.7,44.75,Angora Hotel
185,Cabrobo,BR,87.53,overcast clouds,-8.5142,-39.31,Hotel Limarques
186,Cuamba,MZ,70.11,light rain,-14.8031,36.5372,Hotel Vision
187,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
195,Vanimo,PG,78.57,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
199,Coquimbo,CL,71.33,broken clouds,-29.9533,-71.3436,Hostel Del Puerto
205,Atambua,ID,72.27,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
206,Kavieng,PG,80.94,moderate rain,-2.5744,150.7967,Nusa Island Retreat
207,Carauari,BR,79.09,overcast clouds,-4.8828,-66.8958,Hotel Fellip
