City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Havoysund,NO,70.9963,24.6622,27.48,85,100,24.7,light snow
273,Hambantota,LK,6.1241,81.1185,75.54,100,75,4.61,broken clouds
274,Boa Vista,BR,2.8197,-60.6733,93.18,38,40,11.5,scattered clouds
275,Tazmalt,DZ,36.3868,4.3989,48.87,59,11,3.2,few clouds
276,Saskylakh,RU,71.9167,114.0833,4.46,93,100,13.35,overcast clouds
277,Ahipara,NZ,-35.1667,173.1667,74.82,92,99,9.35,overcast clouds
278,Kahului,US,20.8947,-156.47,85.26,68,20,8.05,few clouds
279,Yaring,TH,6.8662,101.3689,74.98,88,100,7.29,overcast clouds
280,Omboue,GA,-1.5746,9.2618,77.77,87,96,3.89,light rain
281,Takoradi,GH,4.8845,-1.7554,79.45,87,0,6.96,clear sky
282,Chokurdakh,RU,70.6333,147.9167,-28.64,93,39,8.63,scattered clouds
283,Tessalit,ML,20.1986,1.0114,65.91,11,4,10.98,clear sky
284,Badnawar,IN,23.0167,75.2167,53.92,51,0,8.21,clear sky
285,Hami,CN,42.8,93.45,25.41,62,94,6.46,overcast clouds
286,Kerrobert,CA,51.9168,-109.1348,41.2,77,54,29.48,broken clouds
287,Rocha,UY,-34.4833,-54.3333,72.05,63,0,13.91,clear sky
288,Kachiry,KZ,53.0675,76.1036,-22.94,100,64,4.07,broken clouds
289,Palauig,PH,15.435,119.9045,76.23,69,61,4.92,broken clouds
290,Shingu,JP,33.7333,135.9833,38.91,84,5,6.38,clear sky
291,Vokhtoga,RU,58.8147,41.0461,29.98,84,100,8.77,overcast clouds
292,Nanakuli,US,21.3906,-158.1547,80.55,55,0,9.22,clear sky
293,Lewisburg,US,35.4492,-86.7889,64.31,22,0,8.05,clear sky
294,Alenquer,BR,-1.9417,-54.7383,80.94,94,100,2.37,overcast clouds
295,Monrovia,LR,6.3005,-10.7969,78.57,87,5,6.06,clear sky
296,Jieshi,CN,22.8134,115.8257,60.94,85,100,17.81,overcast clouds
297,Novikovo,RU,51.1537,37.8879,31.71,90,98,9.15,overcast clouds
298,Champerico,GT,14.3,-91.9167,93.74,61,1,11.48,clear sky
299,Arman,RU,59.7,150.1667,-8.64,78,98,7.25,overcast clouds
300,Kudahuvadhoo,MV,2.6708,72.8944,80.96,75,53,9.6,broken clouds
301,Kalmunai,LK,7.4167,81.8167,75.33,86,99,4.79,overcast clouds
302,Kalemie,CD,-5.9475,29.1947,69.96,87,100,5.95,overcast clouds
303,Eureka,US,40.8021,-124.1637,80.2,59,0,5.12,clear sky
304,Keskin,TR,39.6731,33.6136,22.59,89,10,2.13,clear sky
305,Fort Nelson,CA,58.8053,-122.7002,35.78,56,61,16.6,broken clouds
306,Berlin,DE,52.5244,13.4105,43.99,88,0,10.0,clear sky
307,Vanavara,RU,60.34,102.2797,-21.21,100,98,0.58,overcast clouds
308,Jumla,NP,29.2747,82.1838,19.02,84,15,7.54,few clouds
309,Gasa,PS,31.5,34.4667,51.87,64,53,9.84,broken clouds
310,Cienfuegos,CU,22.1461,-80.4356,84.34,54,77,4.61,broken clouds
311,Cabo San Lucas,MX,22.8909,-109.9124,78.51,54,0,8.05,clear sky
312,La Plata,AR,-34.9215,-57.9545,84.99,41,0,10.69,clear sky
313,Sinnamary,GF,5.3833,-52.95,76.89,86,55,12.64,broken clouds
314,Nuqui,CO,5.7125,-77.2708,86.7,85,100,7.2,overcast clouds
315,Santiago Del Estero,AR,-27.7951,-64.2615,99.21,17,32,13.09,scattered clouds
316,Mogadishu,SO,2.0371,45.3438,76.51,79,13,22.24,few clouds
317,Bairiki,KI,1.3292,172.9752,84.2,70,20,12.66,few clouds
318,Petrolina,BR,-9.3986,-40.5008,86.05,58,20,3.44,light rain
319,Sayyan,YE,15.1718,44.3244,53.04,31,0,1.95,clear sky
320,Dabat,ET,12.9842,37.765,55.31,55,46,4.79,scattered clouds
321,Okakarara,NA,-20.5833,17.4333,69.62,72,82,12.28,broken clouds
322,Apomu,NG,7.3333,4.1833,75.9,80,18,3.09,few clouds
323,Nikolskoye,RU,59.7035,30.7861,36.72,86,100,9.95,overcast clouds
324,Anadyr,RU,64.75,177.4833,-23.3,69,0,8.95,clear sky
325,Warrington,GB,53.3925,-2.5802,43.86,79,75,14.97,broken clouds
326,Porto Santo,PT,33.072,-16.3415,64.78,94,20,8.05,few clouds
327,Khudumelapye,BW,-23.8833,24.75,73.06,55,43,10.22,scattered clouds
328,Dongying,CN,37.4564,118.4856,36.68,64,4,4.61,clear sky
329,Margate,GB,51.3813,1.3862,40.86,72,28,4.0,scattered clouds
330,Stephenville Crossing,CA,48.5,-58.4318,33.93,80,75,16.11,broken clouds
331,Santa Cruz,BO,-17.8,-63.1667,91.45,43,20,14.97,few clouds
332,Scottsbluff,US,41.8666,-103.6672,56.28,37,0,25.32,clear sky
333,Piet Retief,ZA,-27.0071,30.8132,65.44,62,44,2.82,scattered clouds
334,Kupino,RU,54.3663,77.2981,-23.39,100,51,4.97,broken clouds
335,Kiunga,PG,-6.1219,141.2906,72.34,100,100,1.79,light rain
336,Hasaki,JP,35.7333,140.8333,34.2,71,100,26.89,overcast clouds
337,Baijiantan,CN,45.6333,85.1833,10.13,93,100,4.16,overcast clouds
338,Talnakh,RU,69.4865,88.3972,-3.8,95,50,11.95,scattered clouds
339,Homer,US,59.6425,-151.5483,30.78,75,40,5.75,scattered clouds
340,Bilma,NE,18.6853,12.9164,63.34,19,0,8.05,clear sky
341,Walvis Bay,NA,-22.9575,14.5053,73.09,78,25,5.75,scattered clouds
342,Damavand,IR,35.7178,52.065,42.64,44,99,5.68,overcast clouds
343,Saint-Georges,GD,12.0564,-61.7485,82.08,65,20,26.46,few clouds
344,Suntar,RU,62.1444,117.6319,-30.1,100,99,2.64,overcast clouds
345,Ucar,AZ,40.519,47.6542,44.78,79,100,5.28,overcast clouds
346,Westport,US,41.1415,-73.3579,53.98,44,8,11.99,clear sky
